Video Duration Intel/2101_001_IPOS_2021/Helper/Infosys Transition/Demo on Figma and QA environment - Infosys_GLS-20210125_110424-Meeting Recording.mp4 | 3455.74 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_090_CCG_Cr_2109_CPU_or_GPU_Which_is_More_Important_Update/06_Delivery/Japanese/html2/assets/video/cpu-vs-gpu.mp4 | 3.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_090_CCG_Cr_2109_CPU_or_GPU_Which_is_More_Important_Update/06_Delivery/Japanese/html2/assets/video/gpu-highlight.mp4 | 4.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_090_CCG_Cr_2109_CPU_or_GPU_Which_is_More_Important_Update/06_Delivery/Japanese/html2/assets/video/integrated-gpu.mp4 | 22.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_090_CCG_Cr_2109_CPU_or_GPU_Which_is_More_Important_Update/06_Delivery/Japanese/html2/assets/video/look-inside-h500m.mp4 | 10.26 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_090_CCG_Cr_2109_CPU_or_GPU_Which_is_More_Important_Update/06_Delivery/Japanese/html2/assets/video/mobo-cpu-gpu-xtreme.mp4 | 3.37 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_090_CCG_Cr_2109_CPU_or_GPU_Which_is_More_Important_Update/06_Delivery/Japanese/html2/assets/video/morning-fog.mp4 | 10.01 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_090_CCG_Cr_2109_CPU_or_GPU_Which_is_More_Important_Update/06_Delivery/Japanese/html2/assets/video/physics-projectiles.mp4 | 8.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_090_CCG_Cr_2109_CPU_or_GPU_Which_is_More_Important_Update/06_Delivery/Japanese/html2/assets/video/video-ai-giant-battle.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_090_CCG_Cr_2109_CPU_or_GPU_Which_is_More_Important_Update/06_Delivery/Japanese/html2/assets/video/video-ai-npc.mp4 | 45.01 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_090_CCG_Cr_2109_CPU_or_GPU_Which_is_More_Important_Update/06_Delivery/Japanese/html2/assets/video/video-physics-particles.mp4 | 14.06 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_090_CCG_Cr_2109_CPU_or_GPU_Which_is_More_Important_Update/06_Delivery/Japanese/html2/assets/video/video-physics-ragdolling.mp4 | 7.6 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_090_CCG_Cr_2109_CPU_or_GPU_Which_is_More_Important_Update/06_Delivery/Japanese/html2/assets/video/video-world-watching.mp4 | 19.05 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_100__CCG_R_2668_Intel_NUC9_Performance/01_Source/Ghost Tear Down Final V5 v2.mp4 | 413.25 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_100__CCG_R_2668_Intel_NUC9_Performance/01_Source/Ghost Tear Down NoSubs v1.mp4 | 413.27 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_100__CCG_R_2668_Intel_NUC9_Performance/01_Source/Resize_Ghost Tear Down Final V5 v2.mp4 | 413.27 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_100__CCG_R_2668_Intel_NUC9_Performance/02_Pre-Processing/English/html/video.mp4 | 413.27 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_100__CCG_R_2668_Intel_NUC9_Performance/05_Delivery/Chinese_(Simplified)/html/video.mp4 | 413.01 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_100__CCG_R_2668_Intel_NUC9_Performance/05_Delivery/Chinese_(Traditional)/html/video.mp4 | 413.01 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_100__CCG_R_2668_Intel_NUC9_Performance/05_Delivery/English/html/video.mp4 | 413.27 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_100__CCG_R_2668_Intel_NUC9_Performance/05_Delivery/French/html/video.mp4 | 413.01 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_100__CCG_R_2668_Intel_NUC9_Performance/05_Delivery/German/html/video.mp4 | 413.01 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_100__CCG_R_2668_Intel_NUC9_Performance/05_Delivery/Japanese/html/video.mp4 | 413.01 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_100__CCG_R_2668_Intel_NUC9_Performance/05_Delivery/Korean/html/video.mp4 | 413.01 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_100__CCG_R_2668_Intel_NUC9_Performance/05_Delivery/Spanish_(America)/html/video.mp4 | 413.01 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_100__CCG_R_2668_Intel_NUC9_Performance/05_Delivery/Spanish_(Spain)/html/video.mp4 | 413.01 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_106_CCG_R-3459_Pair_Core_and_500_series/01_Source/IPA-WW_10thGen_Training.mp4 | 738.28 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_106_CCG_R-3459_Pair_Core_and_500_series/04_Post-Processing/Chinese_(Simplified)/html/video.mp4 | 738.28 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_106_CCG_R-3459_Pair_Core_and_500_series/05_QA/ForQA/Chinese_(Simplified)/html/video.mp4 | 738.28 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_106_CCG_R-3459_Pair_Core_and_500_series/06_Delivery/Chinese_(Simplified)/html/video.mp4 | 738.28 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_106_CCG_R-3459_Pair_Core_and_500_series/06_Delivery/English/html/video.mp4 | 738.28 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/01_Source/V2/CPM_20_01_ExpertWS_TrainingAnim_Phase2_Final.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/01_Source/caffelli-0c44a6/CPM_20_01_ExpertWS_Training_Anim_Final.mp4 | 225.09 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/3469_script.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/Chinese_(Simplified)/3469_script_Chinese_(Simplified).mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/Chinese_(Traditional)/3469_script_Chinese_(Traditional).mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/French_(France)/3469_script_French_(France).mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/German/3469_script_German.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/Indonesian/3469_script_Indonesian.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/Italian/3469_script_Italian.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/Japanese/3469_script_Japanese.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/Korean/3469_script_Korean.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/Polish/3469_script_Polish.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/Portuguese_(Brazil)/3469_script_Portuguese_(Brazil).mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/Russian/3469_script_Russian.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/Spanish_(Latin America)/3469_script_Spanish.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/Thai/3469_script_Thai.mp4 | 225.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/Turkish/3469_script_Turkish.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p2/Vietnamese/3469_script_Vietnamese.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/3469_script.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/Chinese_(Simplified)/3469_script_Chinese_(Simplified).mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/Chinese_(Traditional)/3469_script_Chinese_(Traditional).mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/French_(France)/3469_script_French_(France).mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/German/3469_script_German.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/Indonesian/3469_script_Indonesian.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/Italian/3469_script_Italian.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/Japanese/3469_script_Japanese.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/Korean/3469_script_Korean.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/Polish/3469_script_Polish.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/Portuguese_(Brazil)/3469_script_Portuguese_(Brazil).mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/Russian/3469_script_Russian.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/Spanish_(Latin America)/3469_script_Spanish_(Latin America).mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/Thai/3469_script_Thai.mp4 | 225.05 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/Turkish/3469_script_Turkish.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/04_Post-Processing/p3/Vietnamese/3469_script_Vietnamese.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Chinese_(Simplified)/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Chinese_(Traditional)/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/French_(France)/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/German/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Indonesian/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Italian/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Japanese/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Korean/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Polish/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Portuguese_(Brazil)/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Russian/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Spanish/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Thai/html/video.mp4 | 225.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Turkish/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Video.mp4 | 225.09 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/05_QA/ForQA/Vietnamese/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/Chinese_(Simplified)/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/Chinese_(Traditional)/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/English/html/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/English/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/French/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/German/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/Indonesian/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/Italian/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/Japanese/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/Korean/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/Polish/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/Portuguese_(Brazil)/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/Russian/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/Spanish_(Spain)/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/Thai/html2/video.mp4 | 225.05 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/Turkish/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_116_CCG_R_3469_Xeon_w3300/06_Delivery/Vietnamese/html2/video.mp4 | 225.07 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_117_IOTG_Cr-3214_IoT_Foundations_-_Course_3_Sales_Approach_to_IoT/01_Source/Source Files/Source Files/Intel - Sales Approach to IoT/story_content/video_6GB2eMslReo_22_48_1024x576.mp4 | 5.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_117_IOTG_Cr-3214_IoT_Foundations_-_Course_3_Sales_Approach_to_IoT/02_Pre-Processing/Published/story_content/video_6GB2eMslReo_22_48_1024x576.mp4 | 5.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_117_IOTG_Cr-3214_IoT_Foundations_-_Course_3_Sales_Approach_to_IoT/04_Post-Processing/EN-US_JA/インテル - IoT の販売アプローチ - Storyline output/story_content/video_6GB2eMslReo_22_48_1024x576.mp4 | 5.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_117_IOTG_Cr-3214_IoT_Foundations_-_Course_3_Sales_Approach_to_IoT/04_Post-Processing/英特尔 - 物联网销售方式 - Storyline output/story_content/video_6GB2eMslReo_22_48_1024x576.mp4 | 5.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_117_IOTG_Cr-3214_IoT_Foundations_-_Course_3_Sales_Approach_to_IoT/05_QA/ForQA/Chinese_(Simplified)/html/story_content/video_6GB2eMslReo_22_48_1024x576.mp4 | 5.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_117_IOTG_Cr-3214_IoT_Foundations_-_Course_3_Sales_Approach_to_IoT/05_QA/ForQA/English/htmlv2/story_content/video_6GB2eMslReo_22_48_1024x576.mp4 | 5.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_117_IOTG_Cr-3214_IoT_Foundations_-_Course_3_Sales_Approach_to_IoT/05_QA/ForQA/Japanese/html/story_content/video_6GB2eMslReo_22_48_1024x576.mp4 | 5.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_117_IOTG_Cr-3214_IoT_Foundations_-_Course_3_Sales_Approach_to_IoT/06_Delivery/Chinese_(Simplified)/html/story_content/video_6GB2eMslReo_22_48_1024x576.mp4 | 5.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_117_IOTG_Cr-3214_IoT_Foundations_-_Course_3_Sales_Approach_to_IoT/06_Delivery/Chinese_(Simplified)/zzzhtml/story_content/video_6GB2eMslReo_22_48_1024x576.mp4 | 5.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_117_IOTG_Cr-3214_IoT_Foundations_-_Course_3_Sales_Approach_to_IoT/06_Delivery/English/html/story_content/video_6GB2eMslReo_22_48_1024x576.mp4 | 5.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_117_IOTG_Cr-3214_IoT_Foundations_-_Course_3_Sales_Approach_to_IoT/06_Delivery/English/htmlv2/story_content/video_6GB2eMslReo_22_48_1024x576.mp4 | 5.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_117_IOTG_Cr-3214_IoT_Foundations_-_Course_3_Sales_Approach_to_IoT/06_Delivery/Japanese/html/story_content/video_6GB2eMslReo_22_48_1024x576.mp4 | 5.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_144_CCG_Cr-3273_Increasing_Margin_in_2021_Implement_a_Scalable_Device_as_a_Service_Solution_Offering/01_Source/NAR-IPA_Daas_4-29-21.mp4 | 3368.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_144_CCG_Cr-3273_Increasing_Margin_in_2021_Implement_a_Scalable_Device_as_a_Service_Solution_Offering/04_Post-Processing/Chinese_(Simplified)/video.mp4 | 3368.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_144_CCG_Cr-3273_Increasing_Margin_in_2021_Implement_a_Scalable_Device_as_a_Service_Solution_Offering/04_Post-Processing/Chinese_(Simplified)/video_chs.mp4 | 3368.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_144_CCG_Cr-3273_Increasing_Margin_in_2021_Implement_a_Scalable_Device_as_a_Service_Solution_Offering/04_Post-Processing/Portuguese_(Brazil)/video_ptb.mp4 | 3368.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_144_CCG_Cr-3273_Increasing_Margin_in_2021_Implement_a_Scalable_Device_as_a_Service_Solution_Offering/04_Post-Processing/Spanish_(Spain)/video_es.mp4 | 3368.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_144_CCG_Cr-3273_Increasing_Margin_in_2021_Implement_a_Scalable_Device_as_a_Service_Solution_Offering/06_Delivery/Chinese_(Simplified)/html/video.mp4 | 3368.3 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_144_CCG_Cr-3273_Increasing_Margin_in_2021_Implement_a_Scalable_Device_as_a_Service_Solution_Offering/06_Delivery/English/html/video.mp4 | 3368.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_144_CCG_Cr-3273_Increasing_Margin_in_2021_Implement_a_Scalable_Device_as_a_Service_Solution_Offering/06_Delivery/English/zzzhtml/video.mp4 | 3368.24 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_144_CCG_Cr-3273_Increasing_Margin_in_2021_Implement_a_Scalable_Device_as_a_Service_Solution_Offering/06_Delivery/Portuguese_(Brazil)/html/video.mp4 | 3368.3 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_144_CCG_Cr-3273_Increasing_Margin_in_2021_Implement_a_Scalable_Device_as_a_Service_Solution_Offering/06_Delivery/Spanish_(Spain)/html/video.mp4 | 3368.3 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_145_CCG_Cr-3233_Top_3_Technologies_Driving_DaaS_Opportunities_with_SMB_Customers/01_Source/03-04_NAR_DaaS.mp4 | 3330.64 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_145_CCG_Cr-3233_Top_3_Technologies_Driving_DaaS_Opportunities_with_SMB_Customers/01_Source/IPA-SPA_DaaS_6-17.mp4 | 3277.4 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_145_CCG_Cr-3233_Top_3_Technologies_Driving_DaaS_Opportunities_with_SMB_Customers/04_Post-Processing/Chinese_(Simplified)/video.mp4 | 3330.64 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_145_CCG_Cr-3233_Top_3_Technologies_Driving_DaaS_Opportunities_with_SMB_Customers/04_Post-Processing/Chinese_(Simplified)/video_CHS.mp4 | 3330.64 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_145_CCG_Cr-3233_Top_3_Technologies_Driving_DaaS_Opportunities_with_SMB_Customers/04_Post-Processing/Russian/Russian/html/video.mp4 | 3330.64 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_145_CCG_Cr-3233_Top_3_Technologies_Driving_DaaS_Opportunities_with_SMB_Customers/06_Delivery/Chinese_(Simplified)/zzzhtml/video.mp4 | 3330.64 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_145_CCG_Cr-3233_Top_3_Technologies_Driving_DaaS_Opportunities_with_SMB_Customers/06_Delivery/English/html/video.mp4 | 3330.64 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_145_CCG_Cr-3233_Top_3_Technologies_Driving_DaaS_Opportunities_with_SMB_Customers/06_Delivery/English/zzzhtml/video.mp4 | 3330.64 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_145_CCG_Cr-3233_Top_3_Technologies_Driving_DaaS_Opportunities_with_SMB_Customers/06_Delivery/Spanish_(America)/html/video.mp4 | 3277.4 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/01_Source/Course-HTML/dev/assets/video/co-branding-nuc-main.mp4 | 517.23 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/01_Source/Course-HTML/dev/assets/video/co-branding-nuc-opener.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/04_Post-Processing/Chinese_(Simplified)/html/assets/video/co-branding-nuc-main.mp4 | 517.23 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/04_Post-Processing/Chinese_(Simplified)/html/assets/video/co-branding-nuc-opener.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/04_Post-Processing/Spanish_(Spain)/html/assets/video/co-branding-nuc-main.mp4 | 517.23 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/04_Post-Processing/Spanish_(Spain)/html/assets/video/co-branding-nuc-opener.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/05_QA/ForQA/en-US/html/assets/video/co-branding-nuc-main.mp4 | 517.23 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/05_QA/ForQA/en-US/html/assets/video/co-branding-nuc-opener.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/05_QA/ForQA/es-ES/html/assets/video/co-branding-nuc-main.mp4 | 517.23 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/05_QA/ForQA/es-ES/html/assets/video/co-branding-nuc-opener.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/05_QA/ForQA/zh-CN/html/assets/video/co-branding-nuc-main.mp4 | 517.23 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/05_QA/ForQA/zh-CN/html/assets/video/co-branding-nuc-opener.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/06_Delivery/Chinese_(Simplified)/html/assets/video/co-branding-nuc-main.mp4 | 517.23 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_146_CCG_Cr-3525_Intel_NUC_and_Intel_NUC_Elements_Co-Branded_Program/06_Delivery/Chinese_(Simplified)/html/assets/video/co-branding-nuc-opener.mp4 | 15.02 seconds
